user,text,favorite_count,retweet_count,created_at
seawatch_intl,"(3/3) The Tunisian coast guard simultaneously deported people to Tunisia against their will. Italy's racist migration policy is not working – despite blocked sea rescue ships, 1,800 people arrived in #Lampedusa yesterday.",37,13,2023-03-10 18:23:46+00:00
seawatch_intl,"(2/3) Malta does not lift a finger in its own rescue zone. After more than 15 hours and countless calls and radio messages to the rescue coordination center in Rome, the ~50 people are rescued by the 🇮🇹 coast guard during the night. The MARBELLA by their side until the end.",39,15,2023-03-10 18:23:30+00:00
seawatch_intl,"(1/3)🔴Malta calls on merchant vessel not to rescue
17 boats in distress with over 550 people were sighted by our #Seabird yesterday. We informed the merchant vessel MARBELLA of a distress at sea. It wanted to help, but Maltese authorities requested not to intervene.",91,58,2023-03-10 18:22:01+00:00
seawatch_intl,"In the last two days #Seabird sighted 36 boats in distress. The #Italian coast guard has tried to rescue another 7 boats with their already overcrowded boat. Meanwhile, the Italian sea rescue coordination center ignores the support offered by civil sea rescue organizations. https://t.co/NfGJ3BmksH",78,39,2023-03-10 13:59:50+00:00
seawatch_intl,"The #Lampedusa Hotspot needs an internet connection! People on the move need to be able to research their opportunities, develop plans and get in contact with their families and friends! 

Read the joint statement of 11 search and rescue organizations here: https://t.co/dLsKgTik02",32,11,2023-03-10 11:58:24+00:00
seawatch_intl,"With the #Seabird, we have observed misjudgement and excessive demands on the part of the #Italian authorities in the past few days. Now about 500 people have to be rescued immediately! https://t.co/fQRqVanG8r",53,18,2023-03-10 10:33:57+00:00
seawatch_intl,"(3) The situation continues to be unclear, but we estimate over 1,000 people in distress at sea yesterday. It is already known that one of the boats capsized off the coast of #Lampedusa. 20 people could be rescued, for a young woman all help came too late. https://t.co/qNLenWrSlO",31,14,2023-03-09 17:18:30+00:00
seawatch_intl,"(2) A completely overcrowded Italian Coast Guard boat tried to rescue 7 other boats. Assistance offered by Seabird was ignored by the rescue coordination centre. Instead of involving civil rescue vessels, a tanker not designed for rescues was called to assist. https://t.co/jMlvxCQ7ag",40,9,2023-03-09 17:17:41+00:00
seawatch_intl,"(1) Our search plane #Seabird discovered 19 boats in distress yesterday. #Italian authorities have put countless lives at risk due to misjudgement and excessive demands, while civil organizations are prevented from rescuing people for political reasons. https://t.co/ysT3shaEmZ",150,51,2023-03-09 17:15:53+00:00
seawatch_intl,Follow the Trial against #Frontex today. It is time to hold those responsible for human rights violations and deaths at Europe's external borders accountable. https://t.co/TjYTmcvkFQ,52,26,2023-03-09 10:53:43+00:00
seawatch_intl,"As a sea rescue organization, we fight against the racist EU border regime. But different forms of discrimination cannot be considered separately. Sea rescue must always be feminist as well. #8M2023",23,2,2023-03-08 15:04:27+00:00
seawatch_intl,"On March 8 - and every day - we fight together against sexism and patriarchy. Instead of pseudo-feminist foreign policy or women's quotas in leadership positions: For radical equality of all (!) genders, without leaving other systems of oppression out of sight. https://t.co/JmiZU2PgKi",178,20,2023-03-08 15:04:26+00:00
seawatch_intl,"@women_in_exile Refugee women founded @women_in_exile in 2002 to fight for their rights.
“Breaking Borders to Build Bridges” brings together texts about fleeing, surviving, &amp; 20 years of organizing as a refugee women’s group fighting for freedom of movement &amp; the abolishment of all camps.
(4/4) https://t.co/xSBrngU9UA",13,3,2023-03-08 10:14:53+00:00
seawatch_intl,"@women_in_exile “For the rights of those lucky enough to reach the shores of #FortressEurope. Especially women and children who are more vulnerable to these dangerous journeys.”
(3/4) https://t.co/kyUeuPat8F",18,5,2023-03-08 10:14:00+00:00
seawatch_intl,"@women_in_exile “As long as people cannot cross borders freely and these borders are controlled by forces subsidized and militarized by the European Union, we will continue “Breaking Borders to Build Bridges”. To fight #racism, #sexism, and all types of discrimination.
(2/4)",13,3,2023-03-08 10:13:13+00:00
seawatch_intl,".@women_in_exile on #8M2023:
“Many people are forced to risk to escape through dangerous routes because of the hindrances of freedom of movement, such as border guards, controls, and high wired fences.
This is nothing new. It is history repeating itself.
(1/4) https://t.co/QV3FKSEWA2",44,11,2023-03-08 10:12:42+00:00
seawatch_intl,"Despite all the difficulties, we continue to fight for the right to life. But to save lives in the Mediterranean Sea, we need rescue ships above all. Support us now with a donation to make the #SeaWatch5 ready to rescue as soon as possible: https://t.co/HlelUynAoj",27,9,2023-03-04 15:58:28+00:00
seawatch_intl,"We are working at full speed to get the #SeaWatch5 into operation. Because she is urgently needed: While Italy continues to make sea rescue more difficult by law and block rescue ships, last Sunday at least 68 people drowned off the coast of #Crotone. https://t.co/5Ml2wx0igQ",190,46,2023-03-04 15:58:27+00:00
